测量时间,运动类型,轮次,本轮序号,距离_mm,目标_X_mm,目标_Y_mm,目标_Z_mm,运动速度_%,加速度_%,控制器返回值,运动调用耗时_s,首次满足停稳条件总耗时_s,确认停稳总耗时_s,调用返回后等待_s,采样次数,最终位置误差_mm,最终姿态误差_deg,最终线速度_mm_s,最终姿态速度_deg_s
2026-08-12T13:30:55,MoveL,4,17,2.0,-337.4151306152343,-223.0,330.0,100.0,100.0,0,0.070727670999986,0.2900020859997312,0.37246604599931743,0.2954170239991072,27,0.10415178182670251,0.010498046875,2.559335178955089,0.40540578311313447
2026-08-12T13:30:55,MoveL,5,1,2.0,-337.4151306152343,-223.0,330.0,100.0,100.0,0,0.07195086300089315,0.2906942670015269,0.3673054049995699,0.2877577350009233,26,0.08034831642059603,0.0092620849609375,2.217822341850076,0.3704372510793997
2026-08-12T13:30:56,MoveL,5,2,5.0,-337.4151306152343,-220.0,330.0,100.0,100.0,0,0.10530405999998038,0.20717890899868507,0.3269674240000313,0.2147455340000306,20,0.12392849648661594,0.01152801513671875,2.13972623083852,0.3890719365144306
2026-08-12T13:30:57,MoveL,5,3,10.0,-337.4151306152343,-215.0,330.0,100.0,100.0,0,0.1499498630000744,0.28270265799983463,0.2995203139998921,0.1440137829995365,14,0.2604955245863019,0.0193634033203125,2.194264799967367,0.12588166098226897
2026-08-12T13:30:57,MoveL,5,4,15.0,-337.4151306152343,-210.0,330.0,100.0,100.0,0,0.17982874200060905,0.349230838000949,0.3669146600004751,0.18080424000072526,17,0.1325924721455891,0.01324462890625,1.496111623194134,0.09264040664778161
2026-08-12T13:30:58,MoveL,5,5,20.0,-337.4151306152343,-205.0,330.0,100.0,100.0,0,0.22541066399935517,0.3721663439991971,0.3898979719997442,0.15853204400082177,15,0.09172375409686966,0.0095367431640625,2.466326840940592,0.4618743982480683
2026-08-12T13:30:59,MoveL,5,6,30.0,-337.4151306152343,-195.0,330.0,100.0,100.0,0,0.29709314100000483,0.4251579910014698,0.4907588170008239,0.1865532700012409,17,0.0835008076123343,0.00304412841796875,1.51813832551613,0.30777691953588393
2026-08-12T13:31:00,MoveL,5,7,40.0,-337.4151306152343,-185.0,330.0,100.0,100.0,0,0.33419059200059564,0.45154958000057377,0.47071870699983265,0.12949961100093788,12,0.07682728620274869,0.00783538818359375,2.415851844195075,0.13905647309577365
2026-08-12T13:31:01,MoveL,5,8,60.0,-337.4151306152343,-165.0,330.0,100.0,100.0,0,0.4036716430000524,0.5098985209988314,0.5287455199995748,0.11790434700014885,11,0.13588108530919124,0.0058746337890625,2.62304264914711,0.5558931982197346
2026-08-12T13:31:02,MoveL,5,9,80.0,-337.4151306152343,-145.0,330.0,100.0,100.0,0,0.4558595079997758,0.5520623579996027,0.5687438810000458,0.10767003299952194,10,0.19737602440022298,0.01740264892578125,1.994715377072556,0.40021178146344766
2026-08-12T13:31:03,MoveL,5,10,100.0,-337.4151306152343,-125.0,330.0,100.0,100.0,0,0.5018782520000968,0.6068510220011376,0.6253616079993662,0.11726203100079147,11,0.27357647974201876,0.018707275390625,2.824459250519753,0.649539938763767
2026-08-12T13:31:05,MoveL,5,11,150.0,-337.4151306152343,-75.0,330.0,100.0,100.0,0,0.5904295000000275,0.7057512070005032,0.7214498110006389,0.1259702709994599,12,0.4125152516887054,0.04024505615234375,0.7143529662468465,0.15482853385514728
2026-08-12T13:31:06,MoveL,5,12,200.0,-337.4151306152343,-25.0,330.0,100.0,100.0,0,0.6694838139992498,0.7922938729989255,0.8090382939990377,0.1332171340000059,13,0.4762481919326882,0.047210693359375,2.667436684954913,0.4393632596661665
2026-08-12T13:31:08,MoveL,5,13,250.0,-337.4151306152343,25.0,330.0,100.0,100.0,0,0.7184089639995364,0.8598111089995655,0.8773359110000456,0.15227155599859543,15,0.48775625231282044,0.04416656494140625,1.17601319651808,0.1752822417792759
2026-08-12T13:31:10,MoveL,5,14,300.0,-337.4151306152343,75.0,330.0,100.0,100.0,0,0.7835364880011184,0.934539746001974,0.9507505430010497,0.16188794600020628,15,0.5739977271451505,0.05525970458984375,1.280025973289317,0.17126630143615618
2026-08-12T13:31:12,MoveL,5,15,350.0,-337.4151306152343,125.0,330.0,100.0,100.0,0,0.8431779170005029,1.0183015470011014,1.0358684490001906,0.186229736000314,18,0.6465184508516371,0.055908203125,2.3549626282695,0.3897196743239652
2026-08-12T13:31:14,MoveL,5,16,400.0,-337.4151306152343,175.0,330.0,100.0,100.0,0,0.9033867590005684,1.08128564099934,1.099605610999788,0.18993407000016305,18,0.7152034502372664,0.0565643310546875,2.178677239321998,0.33433953883455686
2026-08-12T13:31:17,MoveL,5,17,450.0,-337.4151306152343,225.0,330.0,100.0,100.0,0,0.976894474000801,1.1257059210001898,1.173876412000027,0.19128534700030286,19,0.7426145767884527,0.05438995361328125,2.52172345151604,0.3500030113185972
